sentenceID,sentenceType,homophoneID,version,sentence,m1,m2,funniness
1,pun,1,a,Atheism is a non #prophet organization.,prophet,profit,1.591758031
2,pun,2,a,I get my large circumference from too much #pi.,pi,pie,1.760403626
3,pun,3,a,Bakers trade bread recipes on a #knead to know basis.,knead,need,0.85181353
4,pun,4,a,The indecisive rower could not choose either #oar.,oar,or,1.265360036
5,pun,5,a,It was an emotional wedding. Even the cake was in #tiers.,tiers,tears,1.540639932
6,pun,6,a,A new country decided to conduct a flag #poll.,poll,pole,-0.102654508
7,pun,7,a,At some executive meetings there is a chairman of the #bored.,bored,board,1.300298429
8,pun,8,a,Did you know that donuts were first made in #Greece?,greece,grease,0.331241123
9,pun,9,a,I always prayed before my trigonometry tests. I was hoping for a #sine from above.,sine,sign,1.764998789
10,pun,10,a,It was not school john disliked. It was just the #principal of it.,principal,principle,1.136783788
11,pun,11,a,Some music stores are in a #CD part of town.,cd,seedy,0.81244382
12,pun,12,a,The magician got so mad he pulled his #hare out.,hare,hair,1.713986516
13,pun,13,a,The young pine sapling was admonished by his father. Apparently he had been #knotty.,knotty,naughty,1.08482261
14,pun,14,a,To learn rope tricks you have to be #taut.,taut,taught,1.139856033
15,pun,15,a,I dropped out of communism class because of lousy #Marx.,marx,marks,1.447345186
16,pun,16,a,A boy who instinctively waves at people has a natural #hi.,hi,high,0.964876241
17,pun,17,a,A teacher having a tough time longs for the end of the school #daze.,daze,days,0.239893192
18,pun,18,a,Authors in jail have their #prose and cons.,prose,pros,1.674937023
19,pun,19,a,Do not expect to eat something fancy when you are flying because it is #plane food.,plane,plain,0.223710426
20,pun,20,a,I saw a beaver movie last night. It was the best #dam movie I have ever seen.,dam,damn,2.004747311
21,pun,21,a,My computer is so slow it #hertz.,hertz,hurts,1.166764828
22,pun,22,a,The actors had one great movie after another. They were on a #role.,role,roll,1.524418334
23,pun,23,a,The man put his name on the neck of his shirt so he would have #collar ID.,collar,caller,2.013055364
24,pun,24,a,Thieves have muscles of #steal.,steal,steel,1.714323731
25,pun,25,a,When an actress saw her first strands of gray hair she thought she would #dye.,dye,die,1.759157449
26,pun,26,a,A cardboard belt would be a #waist of paper.,waist,waste,1.057899945
27,pun,27,a,Being able to fit size fourteen shoes is quite a #feet.,feet,feat,0.547984458
28,pun,28,a,The mime wanted to say something but he was not #aloud.,aloud,allowed,1.73956032
29,pun,29,a,Those who carry too many buckets start feeling #pail.,pail,pale,1.229952522
30,pun,30,a,A man's home is his castle in a #manor of speaking.,manor,manner,1.138186618
31,pun,31,a,An online poker tournament ended suddenly when the computer #cached in its chips.,cache,cash,1.192216902
32,pun,32,a,Britain is a wet place since the queen has had a long #reign.,reign,rain,1.427947533
33,pun,33,a,Herb gardeners who work extra get #thyme and a half.,thyme,time,2.054690738
34,pun,34,a,If you say you have bad skin I would say that was a #pore excuse.,pore,poor,1.372848228
35,pun,35,a,People who like gold paint have a #gilt complex.,gilt,guilt,0.397982984
36,pun,36,a,To #heir is human.,heir,err,0.300391981
37,pun,37,a,When their boy was little they only got rest after #son down.,son,sun,1.512159044
38,pun,38,a,Novice pirates make terrible singers because they cannot hit the high #Cs.,c's,seas,1.463607939
39,pun,39,a,An electrician is a bright spark who knows what's #watt.,watt,what,1.647324284
40,pun,40,a,When the mayor wanted to slash the budget he turned to a fund #razor.,razor,raiser,1.402262509
41,pun,41,a,Boyscouts know which ropes to tie and what #knot.  ,knot,not,0.789597892
42,pun,42,a,If you could ask someone anything about trees what #wood you ask?,wood,would,0.601320326
43,pun,43,a,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader.,grader,grater,1.869881304
44,pun,44,a,I'm blind so #eye can't see.,eye,i,0.801384986
45,pun,45,a,We didn't know whether to keep our biology program or #cell it.,cell,sell,0.949719411
46,pun,46,a,It will cost you more than a #scent to get rid of that smell.,scent,cent,1.024070666
47,pun,47,a,I tried to stick with the rough class but it was just too #course for my liking.,course,coarse,0.41693277
48,pun,48,a,Our pet is very #deer to us.,deer,dear,0.668438319
49,pun,49,a,You don't want to #bee around a hive for too long.,bee,be,1.231537653
50,pun,50,a,You should run really fast but be careful not to #brake anything.,brake,break,-0.013703885
51,pun,51,a,The pastry chef brought his girlfriend #flours on Valentine's Day.,flour,flower,1.109187676
52,pun,52,a,The driver at the toll insisted it wasn't #fare.,fare,fair,0.722045779
53,pun,53,a,He injured his foot and now it just won't #heel.,heel,heal,-0.029274472
54,pun,54,a,I wrote a song about my priest so that I could perform it for #hymn.,hymn,him,0.735351822
55,pun,55,a,Mother #no's best.,no's,knows,0.393214863
56,pun,56,a,When I stayed at the hotel I made sure I didn't sleep #inn.,inn,in,0.836058615
57,pun,57,a,We spent some time looking for the celebrity before she realized she didn't want to #idol.,idol,idle,0.231656682
58,pun,58,a,She didn't want to clean up but I #maid her.,maid,made,0.720777681
59,pun,59,a,When the new church opened #nun of us cared.,nun,none,1.119047674
60,pun,60,a,He cried when he woke up. It was #mourning.,mourning,morning,1.223151908
61,pun,61,a,The butcher was very glad we could #meat.,meat,meet,0.564574102
62,pun,62,a,The fisherman couldn't believe what he caught; he didn't think it was #reel.,reel,real,0.808595574
63,pun,63,a,If I were brave enough to be a fruit farmer I would grow a #pear.,pear,pair,1.683725549
64,pun,64,a,All the birds in the parish were birds of #pray.,pray,prey,1.872043263
65,pun,65,a,If you want to make it all the way to a tree farm you had better take a different #root.,root,route,1.460681636
66,depunned,1,a,Nationalism is a non #prophet organization.,prophet,profit,0.254513052
67,depunned,2,a,I get my large waistline from too much #pi.,pi,pie,0.53072537
68,depunned,3,a,Mothers trade cake recipes on a #knead to know basis.,knead,need,0.785729634
69,depunned,4,a,The indecisive customer could not choose either #oar.,oar,or,0.04524037
70,depunned,5,a,It was an emotional wedding. Even the mother-in-law was in #tiers.,tiers,tears,0.056751596
71,depunned,6,a,A new country decided to conduct a gallup #poll.,poll,pole,-0.37432802
72,depunned,7,a,At some executive galas there is a chairman of the #bored.,bored,board,0.674643587
73,depunned,8,a,Did you know that dolmas were first made in #Greece?,greece,grease,-0.546340062
74,depunned,9,a,I always prayed before my biology tests. I was hoping for a #sine from above.,sine,sign,0.404942905
75,depunned,10,a,It was not church john disliked. It was just the #principal of it.,principal,principle,0.306823333
76,depunned,11,a,Some grocery stores are in a #CD part of town.,cd,seedy,0.041303001
77,depunned,12,a,The professor got so mad he pulled his #hare out.,hare,hair,0.328649854
78,depunned,13,a,The young boy was admonished by his father. Apparently he had been #knotty.,knotty,naughty,0.064647189
79,depunned,14,a,To learn skateboard tricks you have to be #taut.,taut,taught,-0.049442604
80,depunned,15,a,I dropped out of math class because of lousy #Marx.,marx,marks,0.081925348
81,depunned,16,a,A boy who instinctively takes risks has a natural #hi.,hi,high,-0.186194839
82,depunned,17,a,A teacher having a tough time longs for the end of the school #daze.,daze,days,0.467035
83,depunned,18,a,Bankers in jail have their #prose and cons.,prose,pros,0.343680685
84,depunned,19,a,Do not expect to eat something fancy when you are driving because it is #plane food.,plane,plain,0.816248555
85,depunned,20,a,I saw a horror movie last night. It was the best #dam movie I have ever seen.,dam,damn,-0.152108477
86,depunned,21,a,My horse is so slow it #hertz.,hertz,hurts,-0.101169733
87,depunned,22,a,The directors had one great movie after another. They were on a #role.,role,roll,0.248735967
88,depunned,23,a,The man put his name on the pocket of his shirt so he would have #collar ID.,collar,caller,1.018225003
89,depunned,24,a,Bodybuilders have muscles of #steal.,steal,steel,-0.398578255
90,depunned,25,a,When an actress saw her first wrinkle she thought she would #dye.,dye,die,0.418063329
91,depunned,26,a,A cardboard fort would be a #waist of paper.,waist,waste,-0.487759475
92,depunned,27,a,Being able to fit size fourteen pants is quite a #feet.,feet,feat,0.219053398
93,depunned,28,a,The intern wanted to say something but he was not #aloud.,aloud,allowed,0.108281046
94,depunned,29,a,Those who carry too many burdens start feeling #pail.,pail,pale,0.048432206
95,depunned,30,a,A man's family is his anchor in a manor of speaking.,manor,manner,-0.286767324
96,depunned,31,a,An online poker tournament ended suddenly when the competitor #cached in his chips.,cache,cash,0.375400152
