sentenceID,sentenceType,homophoneID,version,sentence,m1,m2,funniness,punType,entropy,m1KL,m1Focus,m2Focus,m1indices,m2indices,length,avePosition1,avePosition2
1,pun,1,a,Atheism is a non #prophet organization.,prophet,profit,1.591758031,identical,0.616718652,1.119920109,prophet;atheism;organization,non;organization,4;0;5,3;5,6,3.0,4.0
2,pun,2,a,I get my large circumference from too much #pi.,pi,pie,1.760403626,identical,0.001506356,0.725754515,pi;circumference,circumference;large,8;4,4;3,9,6.0,3.5
3,pun,3,a,Bakers trade bread recipes on a #knead to know basis.,knead,need,0.85181353,identical,0.337971491,1.873743985,knead;bakers;bread;recipes,basis;trade,6;0;2;3,9;1,10,2.75,5.0
4,pun,4,a,The indecisive rower could not choose either #oar.,oar,or,1.265360036,identical,0.00017404,2.801674254,oar;rower,choose;either;indecisive;not,7;2,5;6;1;4,8,4.5,4.0
5,pun,5,a,It was an emotional wedding. Even the cake was in #tiers.,tiers,tears,1.540639932,identical,0.032162791,1.417153634,tiers;cake;wedding,emotional;wedding,10;7;4,3;4,11,7.0,3.5
6,pun,6,a,A new country decided to conduct a flag #poll.,poll,pole,-0.102654508,identical,0.003726678,1.148991389,poll;conduct;decided;flag,flag,8;5;3;7,7,9,5.75,7.0
7,pun,7,a,At some executive meetings there is a chairman of the #bored.,bored,board,1.300298429,identical,0.612586713,1.630418029,bored;meetings,chairman;executive;meetings,10;3,7;2;3,11,6.5,4.0
8,pun,8,a,Did you know that donuts were first made in #Greece?,greece,grease,0.331241123,identical,1.09E-07,0.858578093,greece,donuts,9,4,10,9.0,4.0
9,pun,9,a,I always prayed before my trigonometry tests. I was hoping for a #sine from above.,sine,sign,1.764998789,identical,0.096802699,0.961862675,sine;trigonometry,prayed;trigonometry,12;5,2;5,15,8.5,3.5
10,pun,10,a,It was not school john disliked. It was just the #principal of it.,principal,principle,1.136783788,identical,0.000881847,0.82873553,principal;just;school,disliked;just;school,10;8;3,5;8;3,13,7.0,5.33333333333
11,pun,11,a,Some music stores are in a #CD part of town.,cd,seedy,0.81244382,identical,2.48E-08,1.313802308,cd;music;stores,,6;1;2,-1,10,3.0,5.33333333333
12,pun,12,a,The magician got so mad he pulled his #hare out.,hare,hair,1.713986516,identical,0.147522507,1.358221734,hare;magician,pulled,8;1,6,10,4.5,6.0
13,pun,13,a,The young pine sapling was admonished by his father. Apparently he had been #knotty.,knotty,naughty,1.08482261,identical,0.503261117,1.012278978,knotty;sapling,admonished;young,13;3,5;1,14,8.0,3.0
14,pun,14,a,To learn rope tricks you have to be #taut.,taut,taught,1.139856033,identical,0.193825182,1.505260947,taut;rope,learn;tricks,8;2,1;3,9,5.0,2.0
15,pun,15,a,I dropped out of communism class because of lousy #Marx.,marx,marks,1.447345186,identical,0.00064672,1.193861109,marx;class;communism,class,9;5;4,5,10,6.0,5.0
16,pun,16,a,A boy who instinctively waves at people has a natural #hi.,hi,high,0.964876241,identical,0.202374832,0.85336819,hi;people,waves,10;6,4,11,8.0,4.0
17,pun,17,a,A teacher having a tough time longs for the end of the school #daze.,daze,days,0.239893192,identical,0.506137575,1.46835302,daze,school;time;tough,13,12;5;4,14,13.0,7.0
18,pun,18,a,Authors in jail have their #prose and cons.,prose,pros,1.674937023,identical,0.020799649,1.322315967,prose;authors,authors;cons,5;0,0;7,8,2.5,3.5
19,pun,19,a,Do not expect to eat something fancy when you are flying because it is #plane food.,plane,plain,0.223710426,identical,0.443844415,1.268807869,plane;flying;food,fancy;food,14;10;15,6;15,16,13.0,10.5
20,pun,20,a,I saw a beaver movie last night. It was the best #dam movie I have ever seen.,dam,damn,2.004747311,identical,0.000570441,0.969818331,dam;beaver,beaver,11;3,3,17,7.0,3.0
21,pun,21,a,My computer is so slow it #hertz.,hertz,hurts,1.166764828,identical,0.001587939,0.989656542,hertz;computer,,6;1,-1,7,3.5,3.0
22,pun,22,a,The actors had one great movie after another. They were on a #role.,role,roll,1.524418334,identical,1.19E-06,1.131011932,role;actors;movie,movie,12;1;5,5,13,6.0,5.0
23,pun,23,a,The man put his name on the neck of his shirt so he would have #collar ID.,collar,caller,2.013055364,identical,0.639606129,1.811854568,collar;id;man;neck;shirt,id;man;name,15;16;1;7;10,16;1;4,17,9.8,7.0
24,pun,24,a,Thieves have muscles of #steal.,steal,steel,1.714323731,identical,0.09359546,1.178576008,steal;thieves,,4;0,-1,5,2.0,7.0
25,pun,25,a,When an actress saw her first strands of gray hair she thought she would #dye.,dye,die,1.759157449,identical,0.332494518,1.421845738,dye;gray;hair;strands,gray,14;8;9;6,8,15,9.25,8.0
26,pun,26,a,A cardboard belt would be a #waist of paper.,waist,waste,1.057899945,identical,0.366910163,1.533479616,waist;belt,cardboard;paper,6;2,1;8,9,4.0,4.5
27,pun,27,a,Being able to fit size fourteen shoes is quite a #feet.,feet,feat,0.547984458,identical,0.000134488,1.587751506,feet;fourteen;shoes;size,able,10;5;6;4,1,11,6.25,1.0
28,pun,28,a,The mime wanted to say something but he was not #aloud.,aloud,allowed,1.73956032,identical,0.032749793,1.018078507,aloud;say,wanted,10;4,2,11,7.0,2.0
29,pun,29,a,Those who carry too many buckets start feeling #pail.,pail,pale,1.229952522,identical,4.79E-05,1.052596788,pail;buckets;carry,,8;5;2,-1,9,5.0,2.0
