punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,m1Focus,m2Focus
near,1,pun,-55.535657869,-46.7526460314,9.997211058,-1.861346626,0.521607378131,0.478392621869,0.692213132129,1.3011270988,5.97901886573,lion;circus,driver
near,2,pun,-43.5410914618,-36.8942318182,12.643796321,0.558428204,0.948740881405,0.0512591185948,0.202206084068,1.64173689637,6.33439522126,tooth;dentist;patient,tell;whole
near,3,pun,-78.3249571638,-79.1621982368,7.965244351,-2.656443979,0.999995893369,4.10663060341e-06,5.50407823808e-05,1.29082435496,5.88694599968,cilia,ridiculous
near,4,pun,-85.3526797864,-85.6582823787,13.587943037,-2.132293265,0.999998446316,1.55368369414e-06,2.23340183592e-05,1.78614513719,6.47526766752,heir;man;money;inherited;late;father,man;extension
near,5,pun,-62.2048857285,-46.6540736469,14.720599158,0.194343063,0.227203609164,0.772796390836,0.53587529057,2.10960982769,6.76929729295,clothing;men's;wear;store,opening;times
near,6,pun,-67.3217083465,-51.2525975577,8.620862496,-0.372967689,6.24701641767e-06,0.999993752984,8.11075345585e-05,1.35060404111,5.96730215256,ambiance,paramedic;job;driver
near,7,pun,-65.0353676439,-57.4291345261,11.595708886,-0.001859578,0.338648331308,0.661351668692,0.640134850356,1.67825135062,6.29151447591,perches;pet;bird,store;necessary
near,8,pun,-29.6112328967,-17.6183908144,11.928209202,-0.787863724,0.0021352797669,0.997864720233,0.0152631702449,0.75524054009,5.36601172125,reword,
near,9,pun,-95.8203122502,-89.517292391,10.773158733,-2.986738582,0.887279617314,0.112720382686,0.352165426352,1.63722405531,6.40660730818,math;algebra;class,weapon;disruption
near,10,pun,-80.989736925,-82.6614787208,12.102587659,-0.953130433,0.999999987039,1.2960908286e-08,2.48348215661e-07,0.915643556443,5.55879770011,stealer;thief;stole,thief;stole
near,11,pun,-81.616577985,-72.6961657843,6.165153756,-3.676340707,0.335729095595,0.664270904405,0.638161885266,1.67313933087,6.36056259894,wicker;basket,pranked;hit;humor
near,12,pun,-40.3799605994,-35.1067942125,11.081307459,0.478434478,0.920294883303,0.0797051166974,0.27804857301,0.884360001789,5.49685888236,spatial,lovable
near,13,pun,-58.5309494679,-50.0337436303,11.325217782,1.39829877,0.0137992918417,0.986200708158,0.0728079119375,1.48490474219,6.09464466497,whirled;turn,astronaut;turn;traveler
near,14,pun,-66.9119037234,-58.4252731824,9.341806423,-1.836602104,0.424591110455,0.575408889545,0.681730667136,1.98935700641,6.54244713221,caesars;brutus',cautioned;run
near,15,pun,-38.007127803,-36.9951054543,13.041556299,-1.030649186,0.999996528843,3.47115738111e-06,4.71071488275e-05,1.33317519104,6.08804712112,launch;astronauts,
near,16,pun,-43.380812384,-33.3705633348,13.088489566,0.613953528,0.390243813492,0.609756186508,0.668857022678,1.14182849463,5.75683623472,bloom;flower;show,flower;ribbon
near,17,pun,-61.3763806114,-49.8216950685,12.571534175,-0.506201669,0.0384257222062,0.961574277794,0.162908324067,1.35928427893,6.01672612568,flea;pet;dog,buy;get
near,18,pun,-32.9666246075,-25.9865214038,12.955043828,0.533642298,0.864474278335,0.135525721665,0.396757482483,1.30973376161,6.00183857746,fillings;dentist,kind
near,19,pun,-121.091205163,-119.149507788,9.347110955,-2.968910976,0.998395730346,0.00160426965438,0.0119265963931,0.910099306534,5.52263848768,salivation;bell;pavlov;army,pavlov;birth;army
near,20,pun,-44.3659807838,-36.9054403256,10.101852319,0.175215369,0.0249230674337,0.975076932566,0.116624880409,0.940721749233,5.5454551897,orifice;dentists,dentists;day
near,21,pun,-80.7426109068,-78.8938234443,9.178834231,-0.770063328,0.997618890648,0.00238110935154,0.0167606222609,2.4289540031,6.95092659806,braille;blind,arrest;out
near,22,pun,-131.077627409,-130.021634542,13.129068266,-4.964909632,0.999999956216,4.37841793745e-08,7.85663019803e-07,2.81990683218,7.41873037935,sperm;y;chromosome;father;sex;child,sex;moment
near,23,pun,-38.5590194467,-30.4251029411,12.168665328,-2.801346434,0.941268427111,0.0587315728894,0.223463042043,1.163073339,5.76501928205,grime;washing;hands,
near,24,pun,-57.9110312471,-51.4558896735,9.690644281,0.140703765,0.998679060053,0.00132093994652,0.0100771218773,1.31036884589,5.8974349002,epoch,faces;marks
near,25,pun,-43.5518087237,-41.0207646381,10.668960157,1.615799683,0.997647362991,0.00235263700943,0.0165885404967,1.61185080226,6.20490305057,bonus;labored;worked,hard;worked;fingers
