sentenceID	sentence	m1	m2	m1_phone	m2_phone	phoneDist	m1_length	m2_length	normalizedDist	roger_rating	funniness	noah_rating
7	A pet store had a bird contest with no #perches necessary.	perches	purchase	P ER1 CH IH0 Z	P ER1 CH AH0 S	2	5	5	0.4	7	1.521133043	3
8	A pun is its own #reword.	reword	reward	R IY0 W ER1 D	R IH0 W AO1 R D	3	5	6	0.6	1	0.994169407	6
9	A rubber band pistol was confiscated from algebra class because it was a weapon of #math disruption.	math	mass	M AE1 TH	M AE1 S	1	3	3	0.333333333	3	1.970024697	2
17	"At a pet store: 'buy one dog, get one #flea'."	flea	free	F L IY1	F R IY1	1	3	3	0.333333333	4	1.350978202	4
19	"Bell, Bark and Kennel, a novel by Ivan Pavlov, chronicles the birth of the #Salivation Army."	salivation	salvation	S AE1 L AH0 V EY2 SH AH0 N	S AE0 L V EY1 SH AH0 N	3	9	8	0.333333333	5	-0.007576218	6
23	For children to eat without washing their hands would be a #grime.	grime	crime	G R AY1 M	K R AY1 M	1	4	4	0.25	6	0.727533023	4
36	"Just in time for Thanksgiving a blockbuster movie about sweet potatoes, 'The Silence of the #Yams'."	yams	Lambs	Y AE1 M Z	L AE1 M Z	1	4	4	0.25	1	1.360715486	3
42	My heart starts #Aiken when Clay sings.	aiken	aching	EY1 K IH0 N	EY1 K IH0 NG	1	4	4	0.25	3	1.064487831	2
46	On organic farms they #till it like it is.	till	tell	T IH1 L	T EH1 L	1	3	3	0.333333333	5	0.777286691	4
48	People have a happy time vacationing in Ireland because they are walking on #Eire.	eire	fire	AY1 ER0	F AY1 ER0	1	2	3	0.5	1	0.857645622	1
49	People in Switzerland can't learn to ski without a lot of #Alp.	alp	help	AE1 L P	HH EH1 L P	2	3	4	0.666666667	1	1.317687287	2
50	Scarecrows are always #garden their patch.	garden	guarding	G AA1 R D AH0 N	G AA1 R D IH0 NG	2	6	6	0.333333333	2	1.210348484	2
53	Sign: 'Please turn out the lights. Thanks a #watt.'	watt	lot	W AA1 T	L AA1 T	1	3	3	0.333333333	2	1.786203099	1
54	Some childen are often on their #pest behavior.	pest	best	P EH1 S T	B EH1 S T	1	4	4	0.25	6	1.481582201	5
57	Ten years without brushing causes horrible tooth #decade.	decade	decay	D EH0 K EY1 D	D AH0 K EY1	2	5	4	0.4	3	0.682335121	3
58	The actor was never quite right after he retired. He had Post #Dramatic Stress Disorder.	dramatic	traumatic	D R AH0 M AE1 T IH0 K	T R AO0 M AE1 T IH0 K	2	8	8	0.25	7	1.880723344	6
65	The satellite went into orbit on January 1st causing a new year's #revolution.	revolution	resolution	R EH2 V AH0 L UW1 SH AH0 N	R EH2 Z AH0 L UW1 SH AH0 N	1	9	9	0.111111111	3	0.41699879	4
69	Tinker Bell was arrested for being suspiciously high. But in the end she was only fined for #glittering.	glittering	littering	G L IH1 T ER0 IH0 NG	L IH1 T ER0 IH0 NG	1	7	6	0.142857143	6	1.593859677	5
70	To become a pilot requires a good #altitude.	altitude	attitude	AE1 L T AH0 T UW2 D	AE1 T AH0 T UW2 D	1	7	6	0.142857143	2	1.348130271	3
75	What you #seize is what you get.	seize	see	S IY1 Z	S IY1	1	3	2	0.333333333	3	0.272346059	1
76	"When she made Mario Puzo's books required reading for her class, she made him an #author they couldn't refuse."	author	offer	AO1 TH ER0	AO1 F ER0	1	3	3	0.333333333	5	1.100908947	2
79	Why are Italians so good at making coffee? Because they really know how to #espresso themselves.	espresso	express	EH2 S P R EH1 S OW0	IH0 K S P R EH1 S	3	7	7	0.428571429	2	1.23532919	3
80	Women who wear $200.00 perfume obviously are known to have no common #scents.	scents	sense	S EH1 N T S	S EH1 N S	1	5	4	0.2	3	1.718025966	5
