workerID,gender,age,condition,pairID,order,wordOrder,rating,zscored
A1VVTOMG4O0TIE,M,25,4,4,64,1,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,16,13,1,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,28,27,1,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,40,19,0,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,52,61,0,9,1.68070777124
A1VVTOMG4O0TIE,M,25,4,64,105,1,8,1.30552255189
A1VVTOMG4O0TIE,M,25,4,76,56,1,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,88,37,0,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,100,78,0,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,112,110,0,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,124,50,0,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,136,75,1,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,148,94,0,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,160,117,1,9,1.68070777124
A1VVTOMG4O0TIE,M,25,4,172,48,0,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,184,11,1,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,196,31,1,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,208,38,1,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,220,8,1,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,232,109,0,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,244,99,0,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,256,3,1,8,1.30552255189
A1VVTOMG4O0TIE,M,25,4,268,22,0,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,280,77,1,9,1.68070777124
A1VVTOMG4O0TIE,M,25,4,292,120,1,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,304,91,1,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,316,102,0,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,328,88,1,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,340,5,0,5,0.179966893835
A1VVTOMG4O0TIE,M,25,4,352,6,0,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,364,4,1,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,376,28,0,8,1.30552255189
A1VVTOMG4O0TIE,M,25,4,388,71,1,9,1.68070777124
A1VVTOMG4O0TIE,M,25,4,400,73,1,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,412,59,1,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,424,9,0,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,436,52,1,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,448,30,1,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,460,29,1,8,1.30552255189
A1VVTOMG4O0TIE,M,25,4,472,62,0,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,484,108,1,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,496,25,0,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,508,74,1,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,520,21,1,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,532,104,1,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,544,63,1,8,1.30552255189
A1VVTOMG4O0TIE,M,25,4,556,51,1,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,568,97,0,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,580,14,1,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,592,10,0,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,604,44,1,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,616,54,0,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,628,65,0,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,640,36,1,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,652,46,1,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,664,33,0,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,676,112,1,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,688,42,1,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,700,49,0,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,712,114,0,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,724,57,1,5,0.179966893835
A1VVTOMG4O0TIE,M,25,4,736,60,0,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,748,34,0,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,760,72,0,8,1.30552255189
A1VVTOMG4O0TIE,M,25,4,772,96,1,4,-0.195218325516
A1VVTOMG4O0TIE,M,25,4,784,113,1,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,796,47,1,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,808,40,1,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,820,67,1,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,832,101,0,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,844,81,1,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,856,84,0,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,868,111,1,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,880,58,0,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,892,53,0,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,904,119,0,3,-0.570403544868
A1VVTOMG4O0TIE,M,25,4,916,116,0,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,928,26,1,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,940,83,0,1,-1.32077398357
A1VVTOMG4O0TIE,M,25,4,952,100,0,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,964,122,0,5,0.179966893835
A1VVTOMG4O0TIE,M,25,4,976,85,1,7,0.930337332539
A1VVTOMG4O0TIE,M,25,4,988,70,1,9,1.68070777124
A1VVTOMG4O0TIE,M,25,4,1000,35,1,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,1012,24,1,2,-0.94558876422
A1VVTOMG4O0TIE,M,25,4,1024,92,1,6,0.555152113187
A1VVTOMG4O0TIE,M,25,4,1036,115,1,8,1.30552255189
