condition	uniquePairID	phoneticID	homophone	word	dummy
1	1	1	profit	atheism	1
1	6	1	profit	dreams	1
1	11	1	profit	nationalism	1
1	30	2	pi	circumference	1
1	35	2	pi	like	1
1	40	2	pi	up	1
1	58	3	knead	cake	1
1	63	3	knead	know	1
1	68	3	knead	recipes	1
1	89	4	oar	choose	1
1	94	4	oar	indecisive	1
1	99	4	oar	take	1
1	117	5	tears	even	1
1	122	5	tears	stacked	1
1	140	6	pole	conduct	1
1	145	6	pole	gallup	1
1	150	6	pole	raised	1
1	168	7	board	directors	1
1	173	7	board	meetings	1
1	190	8	grease	dolmas	1
1	195	8	grease	plate	1
1	209	9	sign	biology	1
1	214	9	sign	mathematics	1
1	219	9	sign	trigonometry	1
1	237	10	principal	john	1
1	242	10	principal	physics	1
1	259	11	cd	classical	1
1	264	11	cd	new	1
1	269	11	cd	unwashed	1
1	287	12	hair	mad	1
1	292	12	hair	pulled	1
1	309	13	knotty	boy	1
1	314	13	knotty	pine	1
1	329	14	taught	college	1
1	334	14	taught	rope	1
1	350	15	marks	communism	1
1	355	15	marks	karl	1
1	360	15	marks	school	1
1	377	16	hi	people	1
1	382	16	hi	ten	1
1	399	17	days	having	1
1	404	17	days	seven	1
1	421	18	pros	authors	1
1	426	18	pros	networking	1
1	441	19	plain	airport	1
1	446	19	plain	fancy	1
1	451	19	plain	not	1
1	468	20	dam	ever	1
1	473	20	dam	night	1
1	478	20	dam	sticks	1
1	497	21	hertz	mega	1
1	511	22	role	actors	1
1	516	22	role	leading	1
1	521	22	role	silk	1
1	538	23	caller	man	1
1	543	23	caller	put	1
1	560	24	steal	boy	1
1	565	24	steal	muscles	1
1	570	24	steal	wood	1
1	587	25	die	heart	1
1	592	25	die	scared	1
1	611	26	waist	belt	1
1	616	26	waist	paper	1
1	630	27	feat	being	1
1	635	27	feat	new	1
1	640	27	feat	shoes	1
1	660	28	allowed	class	1
1	665	28	allowed	poem	1
1	670	28	allowed	use	1
1	688	29	pail	clean	1
1	693	29	pail	sick	1
1	711	30	manner	anchor	1
1	716	30	manner	huge	1
1	721	30	manner	people	1
1	740	31	cache	chips	1
1	745	31	cache	ended	1
1	750	31	cache	stored	1
1	755	31	cache	years	1
1	777	32	rain	fell	1
1	782	32	rain	place	1
1	800	33	thyme	creamy	1
1	805	33	thyme	get	1
1	810	33	thyme	sauce	1
1	829	34	poor	buy	1
1	834	34	poor	opening	1
1	839	34	poor	teeth	1
1	858	35	gilt	decides	1
1	863	35	gilt	like	1
1	881	36	err	being	1
1	886	36	err	prince	1
1	901	37	son	boy	1
1	906	37	son	only	1
1	921	38	c's	cannot	1
1	926	38	c's	hit	1
1	931	38	c's	ship	1
1	951	39	watt	bright	1
1	956	39	watt	lamp	1
1	961	39	watt	students	1
1	981	40	raiser	balance	1
1	986	40	raiser	girl	1
1	991	40	raiser	slash	1
1	1010	41	knot	double	1
1	1015	41	knot	tie	1
1	1027	42	wood	let	1
1	1040	43	grader	cheddar	1
1	1045	43	grader	jr	1
1	1050	43	grader	tests	1
1	1067	44	eye	see	1
1	1077	45	cell	know	1
1	1082	45	cell	works	1
1	1097	46	cent	let	1
1	1102	46	cent	unpleasant	1
1	1117	47	coarse	rough	1
1	1122	47	coarse	very	1
1	1141	49	be	angry	1
1	1146	49	be	steal	1
1	1161	50	brake	careful	1
1	1166	50	brake	performance	1
1	1180	51	flour	baking	1
1	1185	51	flour	girlfriend	1
1	1190	51	flour	pretty	1
1	1210	52	fair	game	1
1	1215	52	fair	toll	1
1	1228	53	heal	just	1
1	1241	54	him	back	1
1	1246	54	him	perform	1
1	1251	54	him	wrote	1
1	1267	55	knows	mother	1
1	1279	56	in	door	1
1	1284	56	in	stayed	1
1	1298	57	idle	just	1
1	1303	57	idle	spent	1
1	1320	58	made	clean	1
1	1330	59	none	church	1
1	1335	59	none	pious	1
1	1349	60	morning	loved	1
1	1361	61	meat	able	1
1	1366	61	meat	pals	1
1	1380	62	real	caught	1
1	1385	62	real	good	1
1	1390	62	real	very	1
1	1407	63	pair	farmer	1
1	1421	64	pray	bed	1
1	1426	64	pray	easily	1
1	1439	65	root	farm	1
1	1444	65	root	tree	1
2	15	1	prophet	atheism	1
2	20	1	prophet	dreams	1
2	25	1	prophet	nationalism	1
2	43	2	pie	circumference	1
2	48	2	pie	like	1
2	53	2	pie	up	1
2	74	3	need	cake	1
2	79	3	need	know	1
2	84	3	need	recipes	1
2	102	4	or	choose	1
2	107	4	or	indecisive	1
2	112	4	or	take	1
2	130	5	tiers	even	1
2	135	5	tiers	stacked	1
2	153	6	poll	conduct	1
2	158	6	poll	gallup	1
2	163	6	poll	raised	1
2	180	7	bored	directors	1
2	185	7	bored	meetings	1
2	199	8	greece	dolmas	1
2	204	8	greece	plate	1
2	222	9	sine	biology	1
2	227	9	sine	mathematics	1
2	232	9	sine	trigonometry	1
2	249	10	principle	john	1
2	254	10	principle	physics	1
2	272	11	seedy	classical	1
2	277	11	seedy	new	1
2	282	11	seedy	unwashed	1
2	299	12	hare	mad	1
2	304	12	hare	pulled	1
2	319	13	naughty	boy	1
2	324	13	naughty	pine	1
2	340	14	taut	college	1
2	345	14	taut	rope	1
2	362	15	marx	communism	1
2	367	15	marx	karl	1
2	372	15	marx	school	1
2	389	16	high	people	1
2	394	16	high	ten	1
2	411	17	daze	having	1
2	416	17	daze	seven	1
2	431	18	prose	authors	1
2	436	18	prose	networking	1
2	453	19	plane	airport	1
2	458	19	plane	fancy	1
2	463	19	plane	not	1
2	482	20	damn	ever	1
2	487	20	damn	night	1
2	492	20	damn	sticks	1
2	506	21	hurts	mega	1
2	523	22	roll	actors	1
2	528	22	roll	leading	1
2	533	22	roll	silk	1
2	550	23	collar	man	1
2	555	23	collar	put	1
2	572	24	steel	boy	1
2	577	24	steel	muscles	1
2	582	24	steel	wood	1
2	601	25	dye	heart	1
2	606	25	dye	scared	1
2	620	26	waste	belt	1
2	625	26	waste	paper	1
2	645	27	feet	being	1
2	650	27	feet	new	1
2	655	27	feet	shoes	1
2	673	28	aloud	class	1
2	678	28	aloud	poem	1
2	683	28	aloud	use	1
2	701	29	pale	clean	1
2	706	29	pale	sick	1
2	725	30	manor	anchor	1
2	730	30	manor	huge	1
2	735	30	manor	people	1
2	757	31	cash	chips	1
2	762	31	cash	ended	1
2	767	31	cash	stored	1
2	772	31	cash	years	1
2	790	32	reign	fell	1
2	795	32	reign	place	1
2	814	33	time	creamy	1
2	819	33	time	get	1
2	824	33	time	sauce	1
2	843	34	pore	buy	1
2	848	34	pore	opening	1
2	853	34	pore	teeth	1
2	871	35	guilt	decides	1
2	876	35	guilt	like	1
2	891	36	heir	being	1
2	896	36	heir	prince	1
2	911	37	sun	boy	1
2	916	37	sun	only	1
2	936	38	seas	cannot	1
2	941	38	seas	hit	1
2	946	38	seas	ship	1
2	966	39	what	bright	1
2	971	39	what	lamp	1
2	976	39	what	students	1
2	995	40	razor	balance	1
2	1000	40	razor	girl	1
2	1005	40	razor	slash	1
2	1017	41	not	double	1
2	1022	41	not	tie	1
2	1035	42	would	let	1
2	1052	43	grater	cheddar	1
2	1057	43	grater	jr	1
2	1062	43	grater	tests	1
2	1072	44	i	see	1
2	1087	45	sell	know	1
2	1092	45	sell	works	1
2	1107	46	scent	let	1
2	1112	46	scent	unpleasant	1
2	1127	47	course	rough	1
2	1132	47	course	very	1
2	1151	49	bee	angry	1
2	1156	49	bee	steal	1
2	1170	50	break	careful	1
2	1175	50	break	performance	1
2	1195	51	flower	baking	1
2	1200	51	flower	girlfriend	1
2	1205	51	flower	pretty	1
